City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bredasdorp,-34.5322,20.0403,14.11,82,0,2.05,ZA,1699571811
83,port mathurin,-19.6833,63.4167,24.67,77,9,6.17,MU,1699572091
84,natal,-5.795,-35.2094,27.12,78,40,5.66,BR,1699572091
85,labytnangi,66.6572,66.4183,-5.08,98,100,2.15,RU,1699572092
86,mount pearl,47.5166,-52.7813,3.41,95,100,11.32,CA,1699571988
87,al qusiyah,27.4402,30.8184,22.34,55,2,4.41,EG,1699572092
88,abalak,58.1286,68.5944,2.42,72,100,1.98,RU,1699572093
89,hermanus,-34.4187,19.2345,15.92,74,0,4.72,ZA,1699572093
90,yamada,39.4667,141.95,14.58,80,95,4.15,JP,1699572093
91,puerto baquerizo moreno,-0.9,-89.6,24.58,81,81,7.58,EC,1699571995
92,kimbe,-5.5502,150.1429,30.2,59,84,3.02,PG,1699572094
93,fort bragg,35.139,-79.006,23.79,64,40,0.45,US,1699572094
94,labrador city,52.9463,-66.9114,-6.05,86,100,3.6,CA,1699572095
95,sao felix do xingu,-6.6447,-51.995,25.97,71,99,1.02,BR,1699572095
96,kodiak,57.79,-152.4072,1.73,51,75,2.57,US,1699572095
97,qarazhal,48.0078,70.7903,4.7,86,84,5.02,KZ,1699572095
98,stanley,54.868,-1.6985,5.03,95,75,2.06,GB,1699572096
99,orichi,58.4036,49.0572,5.59,95,100,2.75,RU,1699572096
100,iguape,-24.7081,-47.5553,22.44,91,98,3.02,BR,1699572096
101,happy valley-goose bay,53.3168,-60.3315,-1.83,69,100,3.09,CA,1699572097
102,vorgashor,67.5833,63.95,-2.0,95,100,5.27,RU,1699572097
103,gualeguaychu,-33.0094,-58.5172,19.19,53,19,3.65,AR,1699572061
104,elko,41.0002,-115.5012,10.09,28,0,2.68,US,1699572098
105,lexington,37.9887,-84.4777,16.0,50,0,3.09,US,1699571894
106,longyearbyen,78.2186,15.6401,-4.09,74,75,8.23,SJ,1699572098
107,st. john's,47.5649,-52.7093,3.87,96,100,11.32,CA,1699572099
108,ilulissat,69.2167,-51.1,-3.99,86,100,4.12,GL,1699572099
109,utrik,11.2278,169.8474,27.71,76,97,9.99,MH,1699572099
110,mufumbwe,-13.6833,24.8,17.97,91,54,1.61,ZM,1699572100
111,arlington,32.7357,-97.1081,12.57,81,100,6.17,US,1699572100
112,enewetak,11.3474,162.3373,28.36,72,100,8.78,MH,1699572100
113,luderitz,-26.6481,15.1594,15.5,86,19,1.6,NA,1699572101
114,rumoi,43.9344,141.6428,13.93,82,85,5.3,JP,1699572101
115,svyetlahorsk,52.6329,29.7389,3.53,89,9,2.79,BY,1699572101
116,yamoussoukro,6.8206,-5.2767,23.94,100,100,1.03,CI,1699572101
117,carutapera,-1.195,-46.02,25.85,86,60,3.79,BR,1699572102
118,uturoa,-16.7333,-151.4333,26.62,81,3,5.52,PF,1699572102
119,namibe,-15.1961,12.1522,19.25,85,28,1.84,AO,1699572102
120,augusto correa,-1.0217,-46.635,26.61,78,82,3.14,BR,1699572103
121,guerrero negro,27.9769,-114.0611,23.37,42,0,6.06,MX,1699572103
122,tiksi,71.6872,128.8694,-15.84,87,100,5.79,RU,1699571907
123,howard springs,-12.497,131.047,29.37,74,79,1.75,AU,1699572103
124,trinidad,-14.8333,-64.9,32.99,55,75,2.06,BO,1699572103
125,atafu village,-8.5421,-172.5159,28.79,77,100,7.09,TK,1699572104
126,ta`u,-14.2336,-169.5144,27.53,81,100,4.89,AS,1699572104
127,tolanaro,-25.0319,46.9987,21.45,85,31,3.79,MG,1699572104
128,horta,38.5333,-28.6333,20.57,94,93,8.05,PT,1699572104
129,tsiombe,-25.3,45.4833,21.57,77,80,2.63,MG,1699572045
130,fort st. john,56.2499,-120.8529,-0.06,80,75,5.14,CA,1699571956
131,avarua,-21.2078,-159.775,26.03,78,20,5.14,CK,1699572105
132,obigarm,38.7173,69.7088,2.58,89,68,3.35,TJ,1699572105
133,yellowknife,62.456,-114.3525,0.29,99,75,9.26,CA,1699572004
134,chatham,51.3789,0.5279,7.98,63,34,6.86,GB,1699572071
135,fuglafjordur,62.244,-6.814,6.26,84,100,9.44,FO,1699572106
136,bathsheba,13.2167,-59.5167,28.34,100,75,9.77,BB,1699572106
137,whitehorse,60.7161,-135.0538,5.43,65,40,5.66,CA,1699572106
138,nova sintra,14.8667,-24.7167,22.68,66,89,2.41,CV,1699572107
139,paraguacu,-21.5472,-45.7375,24.51,43,14,1.46,BR,1699572107
140,santarem,-2.4431,-54.7083,30.07,79,0,1.54,BR,1699571825
141,tidjikja,18.5564,-11.4271,23.25,20,0,4.65,MR,1699572107
142,oban,56.4127,-5.4706,1.32,76,99,2.73,GB,1699571849
143,gadzhiyevo,69.2551,33.3362,-5.57,88,95,6.52,RU,1699572107
144,shihezi,44.3,86.0333,7.3,40,97,1.8,CN,1699572108
145,idaho falls,43.4666,-112.0341,6.31,52,0,4.63,US,1699572108
146,luena,-11.7833,19.9167,17.68,96,91,0.58,AO,1699572108
147,bridgewater,44.3835,-64.5155,4.82,80,100,3.09,CA,1699571874
148,holualoa,19.6228,-155.9522,27.65,74,40,3.6,US,1699572108
149,paradip garh,20.3167,86.6167,21.34,67,4,2.81,IN,1699572109
150,tangalle,6.024,80.7911,24.81,89,99,2.31,LK,1699572039
151,ubrique,36.6778,-5.446,12.15,81,99,0.83,ES,1699572110
152,tahoua,14.8888,5.2692,26.86,12,63,2.37,NE,1699572110
153,port hedland,-20.3167,118.5667,27.03,89,1,3.6,AU,1699571984
154,salalah,17.0151,54.0924,26.05,78,0,1.54,OM,1699572111
155,pangoa,-12.1167,-73.0,21.31,92,98,0.47,PE,1699572111
156,arraial do cabo,-22.9661,-42.0278,23.4,83,2,8.65,BR,1699571972
157,badger,64.8,-147.5333,-1.27,89,75,4.12,US,1699571975
158,loreto,22.2667,-101.9667,25.64,29,100,4.82,MX,1699572111
159,toliara,-23.35,43.6667,22.18,70,25,3.15,MG,1699572112
160,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.06,GF,1699572112
